,DefaultMode,Control,Limbic,SalVentAttn,DorsAttn,SomMot,Visual
sub-025,0.1822673,0.22467172,0.12938948,0.16403826,0.20471853,0.15714698,0.16555911
sub-038,0.2624717,0.34233782,0.22011083,0.24137762,0.3170263,0.24646573,0.26279822
sub-057,0.22787836,0.39245963,0.26999146,0.25656414,0.3648131,0.28393865,0.3096412
sub-059,0.25780335,0.36069658,0.39304847,0.33371562,0.37968504,0.33332157,0.40086997
sub-064,0.21587722,0.35006306,0.2876833,0.26825336,0.31534436,0.24328023,0.3097297
sub-067,0.387431,0.3233709,0.42515123,0.44874054,0.34141526,0.37414557,0.47776875
sub-068,0.21540646,0.3171345,0.28702584,0.26783028,0.32952935,0.28970516,0.36633253
sub-071,0.30914354,0.43581605,0.3251296,0.37171727,0.46376213,0.38120496,0.38180465
sub-083,0.29778203,0.40704316,0.26235235,0.3065079,0.38474873,0.35331818,0.33150983
sub-084,0.14824852,0.3359252,0.1333904,0.11215744,0.30198327,0.18707813,0.18775041
sub-085,0.24000315,0.3788212,0.32763126,0.25129747,0.25852588,0.2803468,0.28733146
sub-087,0.14013094,0.23898591,0.17110835,0.16483332,0.25033605,0.15362668,0.17895037
sub-088,0.2549679,0.34214985,0.20379029,0.27460635,0.3592097,0.32686925,0.34392193
sub-093,0.34084526,0.5034777,0.28689292,0.3712225,0.5216605,0.37614936,0.4162344
sub-094,0.23145309,0.38485387,0.1791811,0.20435409,0.28593078,0.2062614,0.19351834
sub-095,0.28889585,0.32338408,0.33613437,0.32951218,0.31993437,0.2881645,0.43137586
sub-096,0.25617614,0.30115765,0.23839687,0.2824022,0.3407567,0.25963774,0.3555247
sub-097,0.19477355,0.3659962,0.30404073,0.285511,0.28043962,0.289144,0.30942518
sub-107,0.144018,0.32499388,0.13472758,0.14597382,0.25434297,0.14052422,0.14798674
