Subject,Analysis,Dice
sub-025,ppi,0.6979138073016744
sub-038,ppi,0.742217367558711
sub-057,ppi,0.7389416625003289
sub-059,ppi,0.7228103148061137
sub-064,ppi,0.5275017070025037
sub-067,ppi,0.6666897315250484
sub-068,ppi,0.6550619522514355
sub-071,ppi,0.6455058099794941
sub-083,ppi,0.712023380683749
sub-085,ppi,0.7257156403721923
sub-087,ppi,0.7328130344205716
sub-088,ppi,0.7374567180392423
sub-093,ppi,0.7392261874968717
sub-094,ppi,0.6722834305465544
sub-095,ppi,0.710342515505392
sub-096,ppi,0.6971754057428214
sub-097,ppi,0.6885613954291635
sub-107,ppi,0.7135026546132874
