subject,seed_roi,seed_hemisphere,target_roi,target_hemisphere,task,analysis,regular_activation,va_activation,activation_difference
sub-spaceloc1001,pIPS,left,LO,left,ToolLoc,ppi,0.026834935091313017,0.015193823639941846,-0.01164111145137117
sub-spaceloc1001,pIPS,left,LO,right,ToolLoc,ppi,0.030177558468934232,0.01732653969808338,-0.01285101877085085
sub-spaceloc1001,pIPS,right,LO,left,ToolLoc,ppi,-0.0264203477839718,-0.016772718866807805,0.009647628917163996
sub-spaceloc1001,pIPS,right,LO,right,ToolLoc,ppi,-0.03209160746140764,-0.01764321038793994,0.014448397073467702
sub-spaceloc1001,aIPS,left,LO,left,ToolLoc,ppi,-0.06547486177598101,-0.05779623620314008,0.007678625572840929
sub-spaceloc1001,aIPS,left,LO,right,ToolLoc,ppi,-0.06748767723456707,-0.05659420410082588,0.010893473133741192
sub-spaceloc1001,aIPS,right,LO,left,ToolLoc,ppi,-0.05099193964776886,-0.035925739865506505,0.015066199782262354
sub-spaceloc1001,aIPS,right,LO,right,ToolLoc,ppi,-0.059966959066625095,-0.0420977729690923,0.017869186097532797
sub-spaceloc1002,pIPS,left,LO,left,ToolLoc,ppi,0.0038463369727592205,0.011108507089616354,0.007262170116857133
sub-spaceloc1002,pIPS,left,LO,right,ToolLoc,ppi,0.006956943297384115,0.015827424936795443,0.008870481639411329
sub-spaceloc1002,pIPS,right,LO,left,ToolLoc,ppi,0.0023972525057853714,-0.006394657665483651,-0.008791910171269022
sub-spaceloc1002,pIPS,right,LO,right,ToolLoc,ppi,0.0010645821697553722,-0.009991493251644142,-0.011056075421399515
sub-spaceloc1002,aIPS,left,LO,left,ToolLoc,ppi,0.042774395315645385,0.0003040605455497534,-0.04247033477009563
sub-spaceloc1002,aIPS,left,LO,right,ToolLoc,ppi,0.060528363484614205,0.011813872986455245,-0.04871449049815896
sub-spaceloc1002,aIPS,right,LO,left,ToolLoc,ppi,0.04268780854482241,-0.014524113718638959,-0.05721192226346137
sub-spaceloc1002,aIPS,right,LO,right,ToolLoc,ppi,0.06957332238088028,0.004456123006359774,-0.0651171993745205
sub-spaceloc1003,pIPS,left,LO,left,ToolLoc,ppi,0.02047692815954889,0.019291321408131015,-0.0011856067514178746
sub-spaceloc1003,pIPS,left,LO,right,ToolLoc,ppi,0.012348500662369354,0.010458263391734772,-0.001890237270634582
sub-spaceloc1003,pIPS,right,LO,left,ToolLoc,ppi,0.01200763372838861,-0.006632474313382699,-0.01864010804177131
sub-spaceloc1003,pIPS,right,LO,right,ToolLoc,ppi,0.01380274211577386,0.00038905163573284946,-0.013413690480041011
sub-spaceloc1003,aIPS,left,LO,left,ToolLoc,ppi,0.02805437176090848,-0.0013720785357174419,-0.02942645029662592
sub-spaceloc1003,aIPS,left,LO,right,ToolLoc,ppi,0.045513155066660475,0.012543850038796869,-0.032969305027863605
sub-spaceloc1003,aIPS,right,LO,left,ToolLoc,ppi,0.01360870540549782,-0.0047066850832105005,-0.01831539048870832
sub-spaceloc1003,aIPS,right,LO,right,ToolLoc,ppi,0.014985276393269588,-0.0070946033114063275,-0.022079879704675915
sub-spaceloc1004,pIPS,left,LO,left,ToolLoc,ppi,0.03763576201052568,0.023435209623927526,-0.014200552386598154
sub-spaceloc1004,pIPS,left,LO,right,ToolLoc,ppi,0.011039709459051424,0.010306909728245725,-0.0007327997308056982
sub-spaceloc1004,pIPS,right,LO,left,ToolLoc,ppi,0.026622940446294967,-0.010172887853065781,-0.03679582829936075
sub-spaceloc1004,pIPS,right,LO,right,ToolLoc,ppi,-0.002909350102649657,-0.0078075920950828655,-0.004898241992433209
sub-spaceloc1004,aIPS,left,LO,left,ToolLoc,ppi,0.03277860990532507,-0.0009975125480118784,-0.03377612245333695
sub-spaceloc1004,aIPS,left,LO,right,ToolLoc,ppi,-0.020088907022555592,-0.0002395781222944255,0.019849328900261167
sub-spaceloc1004,aIPS,right,LO,left,ToolLoc,ppi,0.005948772622353961,8.096082787133654e-05,-0.005867811794482624
sub-spaceloc1004,aIPS,right,LO,right,ToolLoc,ppi,-0.020069993133943632,0.005056405807552429,0.025126398941496063
